,PCS_ESE,label,Effectifs en EQTP,Salaire moyen en EQTP
66,685a,Ouvriers non qualifiés divers de type artisanal,40800,1200
0,422e,Surveillants et aides-éducateurs des établissements d'enseignement,112650,1300
68,675b,Ouvriers de production non qualifiés du travail du bois et de l'ameublement,20880,1400
69,563c,Employés de maison et personnels de ménage chez des particuliers,17040,1400
70,676e,Ouvriers non qualifiés divers de type industriel,150640,1400
67,563b,"Aides à domicile, aides ménagères, travailleuses familiales",185770,1400
71,562b,Coiffeurs salariés,61420,1500
72,691c,Ouvriers du maraîchage ou de l'horticulture,11720,1500
73,562a,"Manucures, esthéticiens ",26180,1500
74,554h,"Vendeurs de tabac, presse et articles divers",14710,1500
75,684a,Nettoyeurs,351950,1500
76,561d,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration",190860,1500
77,671a,Ouvriers non qualifiés des travaux publics de l'Etat et des collectivités locales,1620,1500
95,681b,Ouvriers non qualifiés du second oeuvre du bâtiment,69550,1600
78,561f,Employés d'étage et employés polyvalents de l'hôtellerie,43920,1600
79,551a,Employés de libre service du commerce et magasiniers,365650,1600
80,561c,"Serveurs, commis de restaurant, garçons non qualifiés",111420,1600
82,642a,Conducteurs de taxi,12820,1600
83,554e,Vendeurs en habillement et articles de sport,109860,1600
84,554d,Vendeurs du commerce de fleurs,19670,1600
86,552a,Caissiers de magasin,132330,1600
87,435b,Animateurs socioculturels et de loisirs,71520,1600
88,541d,"Standardistes, téléphonistes",40910,1600
89,631a,Jardiniers,56750,1600
90,691e,Ouvriers agricoles sans spécialisation particulière,35090,1600
91,675a,"Ouvriers de production non qualifiés du textile et de la confection, de la tannerie-mégisserie et du travail du cuir",18560,1600
92,675c,"Ouvriers de production non qualifiés de l'imprimerie, presse, édition",10300,1600
93,676a,Manutentionnaires non qualifiés,114380,1600
94,676b,"Déménageurs (hors chauffeurs-déménageurs), non qualifiés",6120,1600
96,681a,Ouvriers non qualifiés du gros oeuvre du bâtiment,105570,1600
81,541c,Agents d'accueil non qualifiés,11440,1600
85,554a,Vendeurs en alimentation,173120,1600
1,524c,Agents administratifs des collectivités locales,199330,1600
101,423a,Moniteurs d'école de conduite,15950,1700
117,682a,"Métalliers, serruriers, réparateurs en mécanique non qualifiés",23620,1700
116,534a,Agents civils de sécurité et de surveillance,166480,1700
115,441b,Clergé régulier,3270,1700
114,561b,"Serveurs, commis de restaurant, garçons qualifiés",90270,1700
113,642b,Conducteurs de voiture particulière,11350,1700
2,525a,Agents de service des établissements primaires,49440,1700
97,674c,Autres ouvriers de production non qualifiés : industrie agroalimentaire,66950,1700
98,637d,Ouvriers qualifiés divers de type artisanal,13130,1700
118,541b,"Agents d'accueil qualifiés, hôtesses d'accueil et d'information",62450,1700
99,554j,Pompistes et gérants de station-service (salariés ou mandataires),10910,1700
112,676c,"Ouvriers du tri, de l'emballage, de l'expédition, non qualifiés",185430,1700
102,526d,Aides médico-psychologiques,62950,1700
103,691f,Ouvriers de l'exploitation forestière ou de la sylviculture,2190,1700
104,627b,"Ouvriers qualifiés de la coupe des vêtements et de l'habillement, autres opérateurs de confection qualifiés",8920,1700
105,691d,Ouvriers de la viticulture ou de l'arboriculture fruitière,9390,1700
106,691b,Ouvriers de l'élevage,8250,1700
107,563a,"Assistantes maternelles, gardiennes d'enfants, familles d'accueil",22200,1700
108,683a,"Apprentis boulangers, bouchers, charcutiers",2440,1700
109,643a,"Conducteurs livreurs, coursiers",251760,1700
100,684b,Ouvriers non qualifiés de l'assainissement et du traitement des déchets,23500,1700
110,674b,Ouvriers de production non qualifiés de la transformation des viandes,16970,1700
111,561e,Employés de l'hôtellerie : réception et hall,32090,1700
130,543h,Employés administratifs non qualifiés,103400,1800
3,523d,Adjoints administratifs des hôpitaux publics,61430,1800
4,525d,Agents de service hospitaliers,127590,1800
5,525b,Agents de service des autres établissements d'enseignement,80740,1800
6,628f,"Agents qualifiés de laboratoire (sauf chimie, santé)",23570,1800
7,342d,Personnel enseignant temporaire de l'enseignement supérieur,5340,1800
8,621f,Ouvriers qualifiés des travaux publics (salariés de l'Etat et des collectivités locales),653020,1800
119,564b,Employés des services divers,48020,1800
120,555a,"Vendeurs par correspondance, télévendeurs",32290,1800
121,434e,Moniteurs éducateurs,33150,1800
122,564a,"Concierges, gardiens d'immeubles",51930,1800
123,627a,Opérateurs qualifiés du textile et de la mégisserie,11810,1800
124,625d,Opérateurs de la transformation des viandes,41010,1800
126,553c, Autres vendeurs non spécialisés,66710,1800
127,553b,Vendeurs polyvalents des grands magasins,10860,1800
128,441a,Clergé séculier,3460,1800
125,434f,"Educateurs techniques spécialisés, moniteurs d'atelier",21700,1800
137,671c,Ouvriers non qualifiés des travaux publics et du travail du béton,40710,1800
141,636c,"Boulangers, pâtissiers (sauf activité industrielle)",69910,1800
142,636b,Charcutiers (sauf industrie de la viande),5700,1800
129,554c,"Vendeurs en droguerie, bazar, quincaillerie, bricolage",52070,1800
143,622e,Autres monteurs câbleurs en électronique,7090,1800
138,533b,"Agents techniques forestiers, gardes des espaces naturels",910,1800
140,632g,Peintres et ouvriers qualifiés de pose de revêtements sur supports verticaux,78040,1800
139,526e,Ambulanciers salariés,54530,1800
135,673b,Ouvriers de production non qualifiés travaillant par formage de métal,4380,1800
134,674d,"Ouvriers de production non qualifiés : métallurgie, production verrière, céramique, matériaux de construction",33120,1800
133,674e,"Ouvriers de production non qualifiés : industrie lourde du bois, fabrication des papiers et cartons",3990,1800
132,676d,Agents non qualifiés des services d'exploitation des transports,20000,1800
131,636d,Cuisiniers et commis de cuisine,129700,1800
136,672a,Ouvriers non qualifiés de l'électricité et de l'électronique,15460,1800
168,634c,"Mécaniciens qualifiés en maintenance, entretien, réparation : automobile",126650,1900
160,628e,Ouvriers qualifiés de l'assainissement et du traitement des déchets,17870,1900
167,635a,"Tailleurs et couturières qualifiés, ouvriers qualifiés du travail des étoffes (sauf fabrication de vêtements), ouvriers qualifiés de type artisanal du travail du cuir",12100,1900
164,554f,"Vendeurs en produits de beauté, de luxe (hors biens culturels) et optique",48500,1900
162,546e,"Autres agents et hôtesses d'accompagnement (transports, tourisme)",7680,1900
163,632j,"Monteurs qualifiés en agencement, isolation",66310,1900
165,633a,Electriciens qualifiés de type artisanal (y.c. bâtiment),72250,1900
166,636a,Bouchers (sauf industrie de la viande),35290,1900
159,632e,Couvreurs qualifiés,32070,1900
161,637a,"Modeleurs (sauf modeleurs de métal), mouleurs-noyauteurs à la main, ouvriers qualifiés du travail du verre ou de la céramique à la main",2850,1900
158,625g,Autres ouvriers de production qualifiés ne travaillant pas sur machine : industrie agroalimentaire (hors transformation des viandes),15490,1900
145,543c,Employés non qualifiés des services comptables ou financiers,22120,1900
156,633b,"Dépanneurs qualifiés en radiotélévision, électroménager, matériel électronique (salariés)",6180,1900
155,542a,Secrétaires,349900,1900
154,691a,Conducteurs d'engin agricole ou forestier,4070,1900
153,632h,Soliers moquetteurs et ouvriers qualifiés de pose de revêtements souples sur supports horizontaux,5990,1900
152,671d,"Aides-mineurs, ouvriers non qualifiés de l'extraction",1200,1900
151,632a,Maçons qualifiés,157970,1900
150,673a,Ouvriers de production non qualifiés travaillant par enlèvement de métal,12040,1900
149,632b,Ouvriers qualifiés du travail de la pierre,7000,1900
146,632c,Charpentiers en bois qualifiés,21900,1900
147,674a,"Ouvriers de production non qualifiés : chimie, pharmacie, plasturgie",35320,1900
144,653a,Magasiniers qualifiés,184050,1900
157,652a,"Ouvriers qualifiés de la manutention, conducteurs de chariots élévateurs, caristes",151600,1900
148,673c,"Ouvriers non qualifiés de montage, contrôle en mécanique et travail des métaux",40970,1900
170,526b,"Assistants dentaires, médicaux et vétérinaires, aides de techniciens médicaux",51250,1900
9,524a,Agents administratifs de la fonction publique (y c. enseignement),3840,1900
171,622d,"Câbleurs qualifiés en électronique (prototype, unité, petite série)",3670,1900
172,627d,"Ouvriers qualifiés de scierie, de la menuiserie industrielle et de l'ameublement",29840,1900
14,632k,Ouvriers qualifiés d'entretien général des bâtiments,85620,1900
13,525c,"Agents de service de la fonction publique (sauf écoles, hôpitaux)",16810,1900
173,632d,Menuisiers qualifiés du bâtiment,37540,1900
169,621d,Ouvriers des travaux publics en installations électriques et de télécommunications,20280,1900
11,342h,Allocataires de la recherche publique,18730,1900
10,526c,Auxiliaires de puériculture,48010,1900
12,523c,Adjoints administratifs des collectivités locales,185660,1900
180,542b,"Dactylos, sténodactylos (sans secrétariat), opérateurs de traitement de texte",10190,2000
185,628g,Ouvriers qualifiés divers de type industriel,82820,2000
181,546b,Agents des services commerciaux des transports de voyageurs et du tourisme,28090,2000
182,434b,Assistants de service social,27810,2000
183,622f,Bobiniers qualifiés,2320,2000
184,632f,Plombiers et chauffagistes qualifiés,81490,2000
186,634a,Carrossiers d'automobiles qualifiés,34450,2000
189,627c,Ouvriers qualifiés du travail industriel du cuir,9090,2000
188,627e,Ouvriers de la photogravure et des laboratoires photographiques et cinématographiques,1870,2000
