type,twitter_name,high,low,other
Lycées professionels,lpovanicet,,,1
Lycées professionels,PSVLaTournelle,,,1
Lycées professionels,LaCoudouliere,,,1
Lycées professionels,VaubanLycee,,,1
Lycées professionels,LPHurleventBLF,,,1
Lycées professionels,GilbertLycee,,1,
Lycées professionels,LyceeProTissie,,,1
chain restaurants,BurgerKingFR,,1,
chain restaurants,McDonaldsFrance,,1,
chain restaurants,KFCFrance,,,1
chain restaurants,pizzahutfr,,,1
chain restaurants,QuickFrance_,,,1
chain restaurants,bigmammagroup,,,1
chain restaurants,brioche_doree,,1,
clubs de football,PSG_inside,,,1
clubs de football,OM_Officiel,,,1
clubs de football,OL,,,1
clubs de football,AS_Monaco,,,1
clubs de football,FCNantes,,,1
clubs de football,ToulouseFC,,,1
clubs de football,ogcnice,,,1
clubs de football,RCLens,,,1
clubs de football,MontpellierHSC,,,1
clubs de football,FCLorient,,,1
clubs de football,StadeDeReims,,,1
clubs de football,AngersSCO,,,1
clubs de football,RCSA,,,1
clubs de football,AJA,,,1
clubs de football,ClermontFoot,,,1
clubs de football,estac_officiel,,,1
clubs de football,ACAjaccio,,,1
clubs de football,LOSC_EN,,,1
commerce,Fnac,,,1
commerce,Cdiscount,,,1
commerce,Decathlon,,,1
commerce,rueducommerce,,,1
commerce,boulanger,,,1
commerce,Darty_Officiel,,,1
commerce,AmazonFrance,,,1
commerce,vinted,,,1
ecoles de commerce,essec,1,,
ecoles de commerce,ESCP_bs,1,,
ecoles de commerce,EMLYON,1,,
ecoles de commerce,EDHEC_BSchool,1,,
ecoles de commerce,SKEMA_BS,1,,
ecoles de commerce,inseec_ge,,,1
ecoles de commerce,IESEG,,,1
ecoles de commerce,Psbeduparis,,,1
ecoles de commerce,esdes_BS,,,1
grande distribution,CarrefourFrance,,,1
grande distribution,Monoprix,,,1
grande distribution,AUCHAN_France,,1,
grande distribution,Leclerc,,1,
grande distribution,lidlfrance,,1,
grande distribution,intermarche,,1,
grande distribution,CasinoEnseignes,,1,
grande distribution,franprix,,,1
grande distribution,picardsurgeles,,,1
grande distribution,marksandspencer,1,,
grande distribution,Supermarche_G20,,1,
luxe vetements et malls,Dior,,,1
luxe vetements et malls,CHANEL,,,1
luxe vetements et malls,LouisVuitton,,,1
luxe vetements et malls,YSL,,,1
luxe vetements et malls,hmfrance,,,1
luxe vetements et malls,ZARA,,,1
luxe vetements et malls,Cartier,,,1
luxe vetements et malls,Hermes_Paris,,,1
luxe vetements et malls,UNIQLO_France,,,1
luxe vetements et malls,SHEIN_Official,,1,
luxe vetements et malls,VeuveClicquot,1,,
luxe vetements et malls,Westfield_FDH,,,1
luxe vetements et malls,LancomeFR,1,,
magazine,LEXPRESS,,,1
magazine,lesinrocks,,,1
magazine,Telerama,,,1
magazine,courrierinter,,,1
magazine,ParisMatch,,,1
magazine,sofoot,,,1
magazine,Madamefigaro,1,,
magazine,Sciences_Avenir,,,1
magazine,GQ_France,1,,
magazine,TeleLoisirs,,1,
magazine,marieclaire_fr,,,1
magazine,Cosmopolitan_fr,,,1
magazine,TVMAG,,,1
magazine,Tele7,,,1
magazine,HarvardBiz,1,,
magazine,OnzeMondial,,,1
magazine,Telestarmag,,1,
magazine,InvestirFr,1,,
magazine,lessportivesmag,,,1
magazine,femmeactuelle,,,1
magazine,forbes_fr,1,,
magazine,Tele2Semaines,,,1
magazine,NotreTemps,,,1
magazine,Sante_Magazine,,,1
magazine,FortuneMagazine,1,,
