data_job_titles,french_title,PCS_group_tim,PCS_french,PCS_code,INSEE_label,Income_moyen_EQTP,income_mois,source
journalist,journaliste,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35B,,,2324,https://fr.talent.com/salary?job=journaliste
author,auteur/auteure,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35B,,,3125,https://fr.talent.com/salary?job=auteur
professor,professeur/professeure,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,3180,https://fr.talent.com/salary?job=professeur
consultant,consultant/consultante,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,3167,https://fr.talent.com/salary?job=consultant
editor,éditeur/éditrice,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,3953,https://fr.talent.com/salary?job=%C3%A9diteur
communications manager,responsable de la communication,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,3235,https://fr.talent.com/salary?job=responsable+de+la+communication
ceo,ceo,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,4167,https://fr.talent.com/salary?job=ceo
attorney,Avocat,Legal professions,Professions libérales juridiques et techniques,31,,,3762,https://fr.talent.com/salary?job=comptable
engineer,ingénieur,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,3333,https://fr.talent.com/salary?job=comptable
entrepreneur,entrepreneur,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,3413,https://fr.talent.com/salary?job=comptable
city ​​councilor,conseiller Municipal,Elected officers and political representatives,Cadres administratifs et techniques de la fonction publique,33,,,,https://fr.talent.com/salary?job=comptable
human resources,RH,"Business, IT and administration professionals","Cadres et professions intermédiaires administratives, commerciales et techniques des entreprises",,,,2401,https://fr.talent.com/salary?job=comptable
researcher,chercheur,Professors and higher scientific professions,Professeurs et professions scientifiques supérieures,34,,,3088,https://fr.talent.com/salary?job=comptable
photographer,photographe,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,2083,https://fr.talent.com/salary?job=comptable
artist,artist,"Information, arts and entertainment professions","Professions de l’information, de l’art et des spectacles",35,,,2401,https://fr.talent.com/salary?job=comptable
