PCS_ESE;label;Effectifs en EQTP;Salaire moyen en EQTP
210X;Artisans salariés de leur entreprise;36470;2300
220X;Commerçants et assimilés, salariés de leur entreprise;79180;2600
231A;Chefs de grande entreprise de 500 salariés et plus;5200;15100
232A;Chefs de moyenne entreprise, de 50 à 499 salariés;17700;9700
233A;Chefs d'entreprise du bâtiment et des travaux publics, de 10 à 49 salariés;16910;3400
233B;Chefs d'entreprise de l'industrie ou des transports, de 10 à 49 salariés;14780;4400
233C;Chefs d'entreprise commerciale, de 10 à 49 salariés;35250;4000
233D;Chefs d'entreprise de services, de 10 à 49 salariés;60640;5100
311C;Chirurgiens dentistes;5790;7000
311E;Vétérinaires;6360;3300
312A;Avocats;3520;8000
344B;Médecins salariés non hospitaliers;15680;6100
344D;Pharmaciens salariés;30920;3600
352A;Journalistes (y c. rédacteurs en chef);31310;3500
353A;Directeurs de journaux, administrateurs de presse, directeurs d'éditions (littéraire, musicale, audiovisuelle et multimédia);3770;4600
353B;Directeurs, responsables de programmation et de production de l'audiovisuel et des spectacles;6300;4300
353C;Cadres artistiques et technico-artistiques de la réalisation de l'audiovisuel et des spectacles;20610;4200
354A;Artistes plasticiens;1270;2900
354B;Artistes de la musique et du chant;7300;3200
354C;Artistes dramatiques;8340;3700
354E;Artistes de la danse;1760;2700
354F;Artistes du cirque et des spectacles divers;3150;3700
354G;Professeurs d'art (hors établissements scolaires);5360;2200
371A;Cadres d'état-major administratifs, financiers, commerciaux des grandes entreprises;35550;10100
372A;Cadres chargés d'études économiques, financières, commerciales;100080;5100
372B;Cadres de l'organisation ou du contrôle des services administratifs et financiers;135550;4700
372C;Cadres spécialistes des ressources humaines et du recrutement;87390;4400
372D;Cadres spécialistes de la formation;38430;3400
372E;Juristes;49570;4100
372F;Cadres de la documentation, de l'archivage (hors fonction publique);4400;3400
373A;Cadres des services financiers ou comptables des grandes entreprises;42910;5000
373B;Cadres des autres services administratifs des grandes entreprises;115090;4500
373C;Cadres des services financiers ou comptables des petites et moyennes entreprises;112230;4400
373D;Cadres des autres services administratifs des petites et moyennes entreprises;161880;4300
374A;Cadres de l'exploitation des magasins de vente du commerce de détail;88790;3700
374B;Chefs de produits, acheteurs du commerce et autres cadres de la mercatique;61940;4400
374C;Cadres commerciaux des grandes entreprises (hors commerce de détail);79120;5300
374D;Cadres commerciaux des petites et moyennes entreprises (hors commerce de détail);186680;5000
375A;Cadres de la publicité;26900;4100
375B;Cadres des relations publiques et de la communication;44640;4400
376A;Cadres des marchés financiers;15360;9300
376B;Cadres des opérations bancaires;24860;4900
376C;Cadres commerciaux de la banque;57240;4100
376D;Chefs d'établissements et responsables de l'exploitation bancaire;34110;5100
376E;Cadres des services techniques des assurances;58470;4400
376F;Cadres des services techniques des organismes de sécurité sociale et assimilés;17150;3500
376G;Cadres de l'immobilier;40880;4400
377A;Cadres de l'hôtellerie et de la restauration;34550;3300
380A;Directeurs techniques des grandes entreprises;19970;8000
381B;Ingénieurs et cadres d'étude et développement de l'agriculture, la pêche, les eaux et forêts;6630;3400
381C;Ingénieurs et cadres de production et d'exploitation de l'agriculture, la pêche, les eaux et forêts;3380;3600
382A;Ingénieurs et cadres d'étude du bâtiment et des travaux publics;58070;3700
382B;Architectes salariés;14770;3300
382C;Ingénieurs, cadres de chantier et conducteurs de travaux (cadres) du bâtiment et des travaux publics;70670;3700
382D;Ingénieurs et cadres technico-commerciaux en bâtiment, travaux publics;26070;4000
383A;Ingénieurs et cadres d'étude, recherche et développement en électricité, électronique;56650;4100
383B;Ingénieurs et cadres de fabrication en matériel électrique, électronique;10700;4200
383C;Ingénieurs et cadres technico-commerciaux en matériel électrique ou électronique professionnel;15670;4600
384A;Ingénieurs et cadres d'étude, recherche et développement en mécanique et travail des métaux;61590;3900
384B;Ingénieurs et cadres de fabrication en mécanique et travail des métaux;28660;4100
384C;Ingénieurs et cadres technico-commerciaux en matériel mécanique professionnel;16540;4100
385A;Ingénieurs et cadres d'étude, recherche et développement des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds);63430;4400
385B;Ingénieurs et cadres de fabrication des industries de transformation (agroalimentaire, chimie, métallurgie, matériaux lourds);32730;4700
385C;Ingénieurs et cadres technico-commerciaux des industries de transformations (biens intermédiaires);22520;4700
386B;Ingénieurs et cadres d'étude, recherche et développement de la distribution d'énergie, eau;26300;4400
386C;Ingénieurs et cadres d'étude, recherche et développement des autres industries (imprimerie, matériaux souples, ameublement et bois);15130;3700
386D;Ingénieurs et cadres de la production et de la distribution d'énergie, eau;24590;5200
386E;Ingénieurs et cadres de fabrication des autres industries (imprimerie, matériaux souples, ameublement et bois);9760;4000
387A;Ingénieurs et cadres des achats et approvisionnements industriels;31090;4300
387B;Ingénieurs et cadres de la logistique, du planning et de l'ordonnancement;49570;4100
387C;Ingénieurs et cadres des méthodes de production;41590;4200
387D;Ingénieurs et cadres du contrôle-qualité;52200;3900
387E;Ingénieurs et cadres de la maintenance, de l'entretien et des travaux neufs;40320;3900
387F;Ingénieurs et cadres techniques de l'environnement;20430;3600
388A;Ingénieurs et cadres d'étude, recherche et développement en informatique;321070;3700
388B;Ingénieurs et cadres d'administration, maintenance, support et services aux utilisateurs en informatique;61500;4100
388C;Chefs de projets informatiques, responsables informatiques;173490;4000
388D;Ingénieurs et cadres technico-commerciaux en informatique et télécommunications;33990;4900
388E;Ingénieurs et cadres spécialistes des télécommunications;25630;4200
389A;Ingénieurs et cadres techniques de l'exploitation des transports;40600;4100
389B;Officiers et cadres navigants techniques et commerciaux de l'aviation civile;6900;9300
389C;Officiers et cadres navigants techniques de la marine marchande;4450;4800
423A;Moniteurs d'école de conduite;15950;1700
423B;Formateurs et animateurs de formation continue;57740;2200
424A;Moniteurs et éducateurs sportifs, sportifs professionnels;43430;3800
432D;Autres spécialistes de la rééducation, salariés;20450;2200
433B;Opticiens lunetiers et audioprothésistes salariés;15940;2600
433C;Autres spécialistes de l'appareillage médical salariés;11070;2300
433D;Préparateurs en pharmacie;60460;2000
434A;Cadres de l'intervention socio-éducative;36240;3200
434B;Assistants de service social;27810;2000
434C;Conseillers en économie sociale familiale;17060;2000
434E;Moniteurs éducateurs;33150;1800
434F;Educateurs techniques spécialisés, moniteurs d'atelier;21700;1800
435A;Directeurs de centres socioculturels et de loisirs;8590;2500
435B;Animateurs socioculturels et de loisirs;71520;1600
441A;Clergé séculier;3460;1800
441B;Clergé régulier;3270;1700
