type,twitter_name,high,low
Lycées professionels,lpovanicet,,
Lycées professionels,PSVLaTournelle,,
Lycées professionels,LaCoudouliere,,
Lycées professionels,VaubanLycee,,
Lycées professionels,LPHurleventBLF,,
Lycées professionels,GilbertLycee,,
Lycées professionels,LyceeProTissie,,
chain restaurants,BurgerKingFR,,
chain restaurants,McDonaldsFrance,,
chain restaurants,KFCFrance,,
chain restaurants,pizzahutfr,,
chain restaurants,QuickFrance_,,
chain restaurants,bigmammagroup,,
chain restaurants,brioche_doree,,
clubs de football,PSG_inside,,
clubs de football,OM_Officiel,,
clubs de football,OL,,
clubs de football,AS_Monaco,,
clubs de football,FCNantes,,
clubs de football,ToulouseFC,,
clubs de football,ogcnice,,
clubs de football,RCLens,,
clubs de football,MontpellierHSC,,
clubs de football,FCLorient,,
clubs de football,StadeDeReims,,
clubs de football,AngersSCO,,
clubs de football,RCSA,,
clubs de football,AJA,,
clubs de football,ClermontFoot,,
clubs de football,estac_officiel,,
clubs de football,ACAjaccio,,
clubs de football,LOSC_EN,,
commerce,Fnac,,
commerce,Cdiscount,,
commerce,Decathlon,,
commerce,rueducommerce,,
commerce,boulanger,,
commerce,Darty_Officiel,,
commerce,AmazonFrance,,
commerce,vinted,,
ecoles de commerce,essec,,
ecoles de commerce,ESCP_bs,,
ecoles de commerce,EMLYON,,
ecoles de commerce,EDHEC_BSchool,,
ecoles de commerce,SKEMA_BS,,
ecoles de commerce,inseec_ge,,
ecoles de commerce,IESEG,,
ecoles de commerce,Psbeduparis,,
ecoles de commerce,esdes_BS,,
grande distribution,CarrefourFrance,,
grande distribution,Monoprix,,
grande distribution,AUCHAN_France,,
grande distribution,Leclerc,,
grande distribution,lidlfrance,,
grande distribution,intermarche,,
grande distribution,CasinoEnseignes,,
grande distribution,franprix,,
grande distribution,picardsurgeles,,
grande distribution,marksandspencer,,
grande distribution,Supermarche_G20,,
luxe vetements et malls,Dior,,
luxe vetements et malls,CHANEL,,
luxe vetements et malls,LouisVuitton,,
luxe vetements et malls,YSL,,
luxe vetements et malls,hmfrance,,
luxe vetements et malls,ZARA,,
luxe vetements et malls,Cartier,,
luxe vetements et malls,Hermes_Paris,,
luxe vetements et malls,UNIQLO_France,,
luxe vetements et malls,SHEIN_Official,,
luxe vetements et malls,VeuveClicquot,,
luxe vetements et malls,Westfield_FDH,,
luxe vetements et malls,LancomeFR,,
magazine,LEXPRESS,,
magazine,lesinrocks,,
magazine,Telerama,,
magazine,courrierinter,,
magazine,ParisMatch,,
magazine,sofoot,,
magazine,Madamefigaro,,
magazine,Sciences_Avenir,,
magazine,GQ_France,,
magazine,TeleLoisirs,,
magazine,marieclaire_fr,,
magazine,Cosmopolitan_fr,,
magazine,TVMAG,,
magazine,Tele7,,
magazine,HarvardBiz,,
magazine,OnzeMondial,,
magazine,Telestarmag,,
magazine,InvestirFr,,
magazine,lessportivesmag,,
magazine,femmeactuelle,,
magazine,forbes_fr,,
magazine,Tele2Semaines,,
magazine,NotreTemps,,
magazine,Sante_Magazine,,
magazine,FortuneMagazine,,
magazine,TennisMagazine1,,
magazine,pleine_vie,,
magazine,MagAvantages,,
magazine,moto_journal,,
magazine,TerreSauvageMag,,
magazine,velomagazine,,
magazine,monjardinmag,,
magazine,EntMagazine,,
magazine,LeCycle1,,
media,Mediapart,,
media,BFMTV,,
media,franceculture,,
media,Europe1,,
media,le_gorafi,,
media,LaTribune,,
media,mdiplo,,
media,Reporterre,,
media,Valeurs,,
media,lopinion_fr,,
media,humanite_fr,,
media,LeMediaTV,,
media,VogueFrance,,
media,AlterEco_,,
media,francebleu,,
media,VICEfr,,
media,Lagazettefr,,
media,Causeur,,
media,france_soir,,
media,fipradio,,
media,Actu17,,
media,TheatrumBelli,,
media,lanouvellerep_,,
media,FigaroMagazine_,,
media,Franc_De_Souche,,
media,Journal_Palaces,,
media,24heuresactu,,
media,rtlgroup,,
party,lesRepublicains,,
party,Renaissance,,
party,partisocialiste,,
party,EELV,,
party,FranceInsoumise,,
party,RNational_off,,
party,PCF,,
party,MoDem,,
party,RevPermanente,,
party,Nouvelle_Donne,,
party,DLF_Officiel,,
party,PartiAnimaliste,,
party,NPA_officiel,,
party,_LesPatriotes,,
party,PartiRadicalG,,
party,RSouveraine,,
party,UPR_Officiel,,
party,LutteOuvriere,,
party,LesCentristes_,,
party,nationalistesfr,,
party,ResistonsFrance,,
party,UDMF_officiel,,
party,VPF_France,,
party,PACEEurope,,
party,Reconquete2022,,
party,Walwari1,,
sport,adidasFR,,
sport,Nike,,
sport,lecoqsportif,,
sport,pumafootball,,
sport,Lacoste,,
sport,KappaFrance,,
sport,ASICSFrance,,
sport,Converse,,
sport,Reebok,,
sport,Moncler,,
sport,Quiksilver,,
sport,UnderArmour,,
sport,billabong1973,,
sport,TheNorthFaceEU,,
sport,Timberland,,
sport,Lafuma_France,,
sport,Gymshark,,
sport,ripcurl_europe,,
sport,_Fusalp,,
sport,lululemon,,
sport,Timberland_EU,,
sport,iloveellesse,,
universities,sciencespo,,
universities,cdf1530,,
universities,SorbonneParis1,,
universities,EHESS_fr,,
universities,HECParis,,
universities,Polytechnique,,
universities,ENS_ULM,,
universities,NantesUniv,,
universities,UnivParis8,,
universities,Mines_Paris,,
universities,Paris_Dauphine,,
universities,univbordeaux,,
universities,univ_lyon2,,
universities,centralesupelec,,
universities,AssasUniversite,,
universities,UnivLyon1,,
universities,unistra,,
universities,Univ_Toulouse,,
universities,UnivAngers,,
universities,telecomparis,,
universities,Ecoledeschartes,,
universities,UniversiteCergy,,
universities,UnivTours,,
universities,AgroParisTech,,
universities,UCAuvergne,,
universities,EcoledesPonts,,
universities,UnivPoitiers,,
universities,univamu,,
universities,Sorbonne_Univ_,,
universities,univbourgogne,,
universities,universitereims,,
universities,UGrenobleAlpes,,
universities,univ_spn,,
universities,UPJV_Univ,,
universities,Ecole_navale,,
universities,Univ_Orleans,,
universities,UGustaveEiffel,,
universities,univrouen,,
universities,ENSAEparis,,
universities,UnilimDSI,,
